URL,A,Track Name,Region,key_column
https://open.spotify.com/track/3toP91RkMRQw7M0bScJ4F9,J Balvin,Ay Vamos,ec,J Balvin
https://open.spotify.com/track/2duYlBtpV5ZVx2dDTbpsQi,Snova,Latina Sabrosa,ec,Snova
https://open.spotify.com/track/5masKPHeAOVNgxdLebIcK7,Kygo,Stole the Show,ec,Kygo
https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h,Desiigner,Panda,ec,Desiigner
https://open.spotify.com/track/7xmp7f74I0rxUOPjVuIOE8,ChiChi Peralta,Procura,ec,ChiChi Peralta
https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s,Calvin Harris,How Deep Is Your Love,ec,Calvin Harris
https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M,Coldplay,Adventure Of A Lifetime,ec,Coldplay
https://open.spotify.com/track/6v3QCw4ca5cR4VkzpG0PHy,Alkilados,Una Cita - Remix,ec,Alkilados
https://open.spotify.com/track/0GuLonchqLiGK1zzcrp2ye,Carlos Vives,Ella Es Mi Fiesta - Remix,ec,Carlos Vives
https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w,Robin Schulz,Sugar (feat. Francesco Yates),ec,Robin Schulz
https://open.spotify.com/track/1mNJT19BzMjOoUrxSUp0xi,Juan MagГЎn,Vuelve,ec,Juan MagГЎn
https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,CNCO,ReggaetГіn Lento (Bailemos),ec,CNCO
https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,Shakira,Chantaje,ec,Shakira
https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,Zion & Lennox,Otra Vez (feat. J Balvin),ec,Zion & Lennox
https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,J Balvin,Safari,ec,J Balvin
https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,Ricky Martin,Vente Pa' Ca,ec,Ricky Martin
https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,DJ Snake,Let Me Love You,ec,DJ Snake
https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY,IAmChino,Ay Mi Dios,ec,IAmChino
https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT,Sebastian Yatra,Traicionera,ec,Sebastian Yatra
